candidate,source,tick,task,enabled,side,desired,realized_qp,raw_residual,normalized_residual,weighted_squared_cost,gradient_norm,reported_task_cost,wrench_task_cost,contact_task_cost,slack_task_cost,base_task_information,active_torque,active_contact,active_acceleration
C,common,46,native,False,0,0.0,-22.280603045163915,-22.280603045163915,-1.1140301522581957,1.2410631801404186,0.07767491306159525,0.0,2.226480019595379e-06,6.039367535494424e-06,2.226480025662599e-06,unavailable_in_minimal_profile,0,0,0
C,common,46,native,False,1,0.0,21.654502234040233,21.654502234040233,1.0827251117020116,1.1722936675101334,0.07767491306159525,0.0,2.226480019595379e-06,6.039367535494424e-06,2.226480025662599e-06,unavailable_in_minimal_profile,0,0,0
C,common,74,xi,True,0,1.0227348913865633,1.0227214368652935,-1.3454521269773423e-05,-1.3454521269773423e-05,1.8102414259878543e-10,6.275708424955691e-06,3.620409516608954e-10,6.000724260336624e-06,2.8115938200723512e-05,6.000724260464607e-06,unavailable_in_minimal_profile,0,0,0
C,common,74,xi,True,1,-1.9890307657692559,-1.9890173115205194,1.3454248736444185e-05,1.3454248736444185e-05,1.8101680906210997e-10,6.275708424955691e-06,3.620409516608954e-10,6.000724260336624e-06,2.8115938200723512e-05,6.000724260464607e-06,unavailable_in_minimal_profile,0,0,0
C,common,74,native,False,0,0.0,-28.55143238915136,-28.55143238915136,-1.4275716194575678,2.037960728680703,0.08955666748205618,0.0,6.000724260336624e-06,2.8115938200723512e-05,6.000724260464607e-06,unavailable_in_minimal_profile,0,0,0
C,common,74,native,False,1,0.0,21.63513760081898,21.63513760081898,1.081756880040949,1.170197947515928,0.08955666748205618,0.0,6.000724260336624e-06,2.8115938200723512e-05,6.000724260464607e-06,unavailable_in_minimal_profile,0,0,0
C,common,101,xi,True,0,-8.258482237121047,-8.230221271146181,0.028260965974865826,0.028260965974865826,0.0007986821978325239,0.014047034437570712,0.0018304526463415903,0.027433957850302136,0.11787198225401951,0.027433957850304256,unavailable_in_minimal_profile,0,1,4
C,common,101,xi,True,1,-10.933817894388085,-10.901696710591265,0.03212118379681961,0.03212118379681961,0.0010317704485090665,0.014047034437570712,0.0018304526463415903,0.027433957850302136,0.11787198225401951,0.027433957850304256,unavailable_in_minimal_profile,0,1,4
C,common,101,native,False,0,0.0,50.000000024644976,50.000000024644976,2.500000001232249,6.250000006161245,0.1767766953941028,0.0,0.027433957850302136,0.11787198225401951,0.027433957850304256,unavailable_in_minimal_profile,0,1,4
C,common,101,native,False,1,0.0,50.000000030490064,50.000000030490064,2.500000001524503,6.250000007622516,0.1767766953941028,0.0,0.027433957850302136,0.11787198225401951,0.027433957850304256,unavailable_in_minimal_profile,0,1,4
C,common,110,xi,True,0,-20.328627531461464,-20.13082326616085,0.1978042653006149,0.1978042653006149,0.03912652737111604,0.10258665487406707,0.08918501233892973,0.12078197465877401,4.9587359492006975,0.12078197465437905,unavailable_in_minimal_profile,0,2,5
C,common,110,xi,True,1,-20.747776055094462,-20.524038519200698,0.22373753589376477,0.22373753589376477,0.05005848496781368,0.10258665487406707,0.08918501233892973,0.12078197465877401,4.9587359492006975,0.12078197465437905,unavailable_in_minimal_profile,0,2,5
C,common,110,native,False,0,0.0,49.999999369120886,49.999999369120886,2.499999968456044,6.249999842280221,0.17677669255173475,0.0,0.12078197465877401,4.9587359492006975,0.12078197465437905,unavailable_in_minimal_profile,0,2,5
C,common,110,native,False,1,0.0,49.99999907812799,49.99999907812799,2.4999999539063995,6.249999769532,0.17677669255173475,0.0,0.12078197465877401,4.9587359492006975,0.12078197465437905,unavailable_in_minimal_profile,0,2,5
C,own,0,xi,True,0,0.0,1.4157854713082747e-10,1.4157854713082747e-10,1.4157854713082747e-10,2.0044485007675934e-20,9.358616423587697e-11,8.038758407600634e-20,1.5811722657900694e-12,4.967950501223321e-16,1.5811837684647415e-12,unavailable_in_minimal_profile,0,0,0
C,own,0,xi,True,1,0.0,2.456483239680874e-10,2.456483239680874e-10,2.456483239680874e-10,6.034309906833041e-20,9.358616423587697e-11,8.038758407600634e-20,1.5811722657900694e-12,4.967950501223321e-16,1.5811837684647415e-12,unavailable_in_minimal_profile,0,0,0
C,own,0,native,False,0,0.0,2.8951752443552392e-05,2.8951752443552392e-05,1.4475876221776195e-06,2.0955099238818548e-12,1.2447338769830855e-07,0.0,1.5811722657900694e-12,4.967950501223321e-16,1.5811837684647415e-12,unavailable_in_minimal_profile,0,0,0
C,own,0,native,False,1,0.0,4.0506492191526625e-05,4.0506492191526625e-05,2.025324609576331e-06,4.101939774155518e-12,1.2447338769830855e-07,0.0,1.5811722657900694e-12,4.967950501223321e-16,1.5811837684647415e-12,unavailable_in_minimal_profile,0,0,0
C,own,84,xi,True,0,0.49535616833592544,0.4953559619534038,-2.0638252162807902e-07,-2.0638252162807902e-07,4.2593745233564504e-14,8.87998341605714e-08,7.208110399871386e-14,5.737089858917819e-08,7.803752314368822e-10,5.737089858649447e-08,unavailable_in_minimal_profile,0,0,0
