candidate,source,tick,channel,direction,scale,side,qp_contact_gain,mj_contact_gain,mj_actuator_gain,mj_mass_times_qacc_gain,mj_other_gain,balance_residual,mj_wheel_qacc_gain,cancellation_ratio
C,common,101,xi_common,minus,1.0,left,0.1995290391377469,0.1614596945645974,-0.19796784806363488,0.03650815349899986,0.07301630699803732,0.0,100.78971841789155,0.8155854404837382
C,common,101,xi_common,minus,1.0,right,0.04442665380717803,0.03473767796402516,-0.04180358212296231,0.00706590415885037,0.014131808317787521,0.0,21.63347711169763,0.8309737156458676
C,common,101,xi_differential,plus,1.0,left,0.021689532500002162,0.024907330762785618,-0.022825730667341837,-0.0020816000954309894,-0.00416320019087477,0.0,-7.557037349732809,1.0911953323983645
C,common,101,xi_differential,plus,1.0,right,-0.002101767885348549,-0.006355800210550155,0.004767603934169307,0.0015881962763707853,0.003176392552751634,0.0,9.203360746286648,1.3331225282784678
C,common,101,xi_differential,minus,1.0,left,0.021689532481611318,0.024907330747797607,-0.022825730649017606,-0.002081600098822396,-0.004163200197602399,0.0,-7.557037358671437,1.0911953326177355
C,common,101,xi_differential,minus,1.0,right,-0.002101767870110738,-0.006355800198037942,0.004767603918737207,0.0015881962792343917,0.003176392558535127,0.0,9.203360753929246,1.3331225299691842
C,common,110,xi_common,plus,1.0,left,0.07849189230701992,0.06647366421523859,-0.07602575805014666,0.00955209383487576,0.019104187669783834,0.0,27.123166195849535,0.8743571378978228
C,common,110,xi_common,plus,1.0,right,0.05217480073991254,0.04179016677332559,-0.04955121053502598,0.007761043761700111,0.015522087523400507,0.0,21.573945148321627,0.8433732762953513
C,common,110,xi_common,minus,1.0,left,0.07849189230813014,0.06647366421614898,-0.07602575805125689,0.009552093835153435,0.01910418767026134,0.0,27.123166196560078,0.874357137897029
C,common,110,xi_common,minus,1.0,right,0.05217480074538594,0.04179016677757774,-0.04955121054051048,0.007761043762946598,0.015522087525879337,0.0,21.57394515136275,0.8433732762878171
C,common,110,xi_differential,plus,1.0,left,0.008553102555275416,0.008913328094606321,-0.011037775071853773,0.0021244469772473437,0.004248893954494796,0.0,0.42892307349688963,0.8075294193424205
C,common,110,xi_differential,plus,1.0,right,0.0169636676449203,0.015119738100666247,-0.0142798355978635,-0.0008399025028025808,-0.0016798050056053282,0.0,2.844612800475943,1.0588173790269975
C,common,110,xi_differential,minus,1.0,left,0.008553102563269022,0.008913328100867979,-0.011037775080069423,0.0021244469792442056,0.004248893958445649,0.0,0.4289230787151155,0.8075294193086527
C,common,110,xi_differential,minus,1.0,right,0.016963667685454542,0.015119738132263194,-0.014279835638641991,-0.0008399024936232924,-0.0016798049872444945,0.0,2.8446128228495127,1.0588173782160617
C,own,0,xi_common,plus,1.0,left,-0.0009136804260715184,-0.00047322911788782855,4.83066012494404e-07,0.0004727460518706146,0.0009454921037459487,0.0,1.3281276758377079,979.6365416896529
C,own,0,xi_common,plus,1.0,right,-0.0009114004386809229,-0.00047374502762604427,4.830322427012788e-07,0.00047326199539325696,0.0009465239907766,0.0,1.3318529048402805,980.7730949319297
C,own,0,xi_common,minus,1.0,left,-0.0009136804260731664,-0.0004732291178834077,4.830660120652997e-07,0.00047274605187045955,0.000945492103741802,0.0,1.3281276758384253,979.6365425507057
