side,hip_rad,knee_rad,wheel_rad,connect1_rad,connect2_rad,solver_iterations,closure_residual_m,passive_min_singular_value,passive_condition_number,fk_position_error_m,fk_rotation_matrix_error,full_jacobian_error,constraint_tangent_residual,reduced_jacobian_error,finite_difference_linear_error,finite_difference_angular_error,velocity_error,virtual_work_error_nm,power_error_w
left,0.0,0.75,-1.0,0.75,-0.7500000000000003,0,5.551115123125783e-17,0.0342609703766151,7.619704320374018,8.326672684688674e-17,4.1061244550832386e-16,2.718345674301793e-16,4.796163466380675e-17,2.718345674301793e-16,4.821643084795824e-12,1.6745937969631086e-11,5.2644367061837034e-17,0.0,2.0816681711721685e-17
left,0.0,0.75,0.0,0.75,-0.7500000000000003,0,5.551115123125783e-17,0.034260970376615095,7.61970432037402,5.551115123125783e-17,2.358174198744218e-16,2.718345674301793e-16,3.3473224192448444e-17,2.718345674301793e-16,4.821643084795824e-12,1.3202550164237437e-11,5.2644367061837034e-17,0.0,1.3877787807814457e-17
left,0.0,0.75,1.0,0.75,-0.7500000000000003,0,5.551115123125783e-17,0.034260970376615095,7.61970432037402,5.551115123125783e-17,2.7281514537528973e-16,2.718345674301793e-16,3.3473224192448444e-17,2.718345674301793e-16,4.821643084795824e-12,9.829692615426211e-12,5.2644367061837034e-17,5.551115123125783e-17,6.938893903907228e-18
left,0.325,-0.75,-1.0,-0.7499999999999942,0.7499999999999958,0,1.1102230246251565e-16,0.007370926269926887,30.199307571475952,2.220446049250313e-16,2.8874812132095316e-16,3.8285686989269494e-16,5.805533735891292e-17,3.8285686989269494e-16,5.648759238141565e-12,1.6969736599387476e-11,6.152615125883829e-17,1.1102230246251565e-16,1.3877787807814457e-17
left,0.325,-0.75,0.0,-0.7499999999999942,0.7499999999999958,0,1.1102230246251565e-16,0.007370926269926887,30.199307571475952,2.220446049250313e-16,3.327930252082339e-16,3.8285686989269494e-16,5.805533735891292e-17,3.8285686989269494e-16,5.785955048409619e-12,1.3017137223589856e-11,6.152615125883829e-17,1.1102230246251565e-16,6.938893903907228e-18
left,0.325,-0.75,1.0,-0.7499999999999942,0.7499999999999958,0,1.1102230246251565e-16,0.007370926269926887,30.199307571475952,2.7755575615628914e-16,4.1078893306627794e-16,3.8285686989269494e-16,5.805533735891292e-17,3.8285686989269494e-16,6.443567901470715e-12,1.514932623791765e-11,6.152615125883829e-17,2.220446049250313e-16,1.3877787807814457e-17
left,0.325,-0.5,-1.0,-0.49999999999988776,0.4999999999999286,0,2.220446049250313e-15,0.01678719280302009,13.410883298359114,1.1102230246251565e-16,4.1408189246027747e-16,6.049014748177263e-16,6.716799144490428e-17,6.049014748177263e-16,9.31751897859101e-12,1.0371977615825765e-11,9.927373409609361e-17,0.0,1.3877787807814457e-17
left,0.325,-0.5,0.0,-0.49999999999988776,0.4999999999999286,0,2.220446049250313e-15,0.016787192803020087,13.410883298359114,1.6653345369377348e-16,3.8379209965479367e-16,6.049014748177263e-16,7.500438025302757e-17,6.049014748177263e-16,8.998690681494281e-12,1.4455175109620604e-11,9.927373409609361e-17,5.551115123125783e-17,1.0408340855860843e-17
left,0.325,-0.5,1.0,-0.49999999999988776,0.4999999999999286,0,2.220446049250313e-15,0.01678719280302009,13.410883298359114,1.1102230246251565e-16,4.3836802112395277e-16,6.049014748177263e-16,6.716799144490428e-17,6.049014748177263e-16,8.014006125378614e-12,1.7825296794171663e-11,9.927373409609361e-17,5.551115123125783e-17,6.938893903907228e-18
left,0.325,-0.25,-1.0,-0.24999999999999836,0.24999999999999822,0,2.220446049250313e-16,0.024747805580928223,9.278923899570476,1.1102230246251565e-16,3.3306690738754696e-16,2.718345674301793e-16,1.0097172241876413e-16,2.718345674301793e-16,4.917205531640434e-12,8.142597707205823e-12,2.3778568421582957e-17,1.1102230246251565e-16,6.938893903907228e-18
left,0.325,-0.25,0.0,-0.24999999999999836,0.24999999999999822,0,2.220446049250313e-16,0.024747805580928223,9.278923899570476,1.1102230246251565e-16,3.608224830031759e-16,2.718345674301793e-16,1.0097172241876413e-16,2.718345674301793e-16,4.805100761728909e-12,1.3281375998985823e-11,2.3778568421582957e-17,2.220446049250313e-16,3.469446951953614e-18
left,0.325,-0.25,1.0,-0.24999999999999836,0.24999999999999822,0,2.220446049250313e-16,0.024747805580928203,9.278923899570483,1.1102230246251565e-16,3.3306690738754696e-16,2.718345674301793e-16,1.0097172241876413e-16,2.718345674301793e-16,4.5129733283744145e-12,1.2801315563137905e-11,2.3778568421582957e-17,1.1102230246251565e-16,1.0408340855860843e-17
left,0.325,0.0,-1.0,0.0,0.0,0,1.1102230246251565e-16,0.030661813076649617,7.693661399523469,1.6653345369377348e-16,3.3306690738754696e-16,2.718345674301793e-16,4.342835323186569e-17,2.718345674301793e-16,5.312500439558221e-12,1.4551249094552077e-11,4.2652359840210616e-17,1.1102230246251565e-16,6.938893903907228e-18
left,0.325,0.0,0.0,0.0,0.0,0,1.1102230246251565e-16,0.030661813076649617,7.693661399523469,1.6653345369377348e-16,2.718345674301793e-16,2.718345674301793e-16,4.342835323186569e-17,2.718345674301793e-16,5.5138116294983774e-12,9.370282327836321e-12,4.2652359840210616e-17,5.551115123125783e-17,0.0
left,0.325,0.0,1.0,0.0,0.0,0,1.1102230246251565e-16,0.030661813076649617,7.693661399523469,2.220446049250313e-16,2.736749750108466e-16,2.718345674301793e-16,4.342835323186569e-17,2.718345674301793e-16,4.549749466065123e-12,7.506439914095608e-12,4.2652359840210616e-17,1.1102230246251565e-16,1.0408340855860843e-17
left,0.325,0.25,-1.0,0.25,-0.2500000000000003,0,2.220446049250313e-16,0.034213406074165856,7.119434936658304,1.1102230246251565e-16,3.327930252082339e-16,2.718345674301793e-16,7.142734274258863e-17,2.718345674301793e-16,5.155723070693341e-12,1.1016226667074055e-11,4.2652359840210616e-17,1.1102230246251565e-16,2.42861286636753e-17
left,0.325,0.25,0.0,0.25,-0.2500000000000003,0,2.220446049250313e-16,0.034213406074165856,7.119434936658304,1.1102230246251565e-16,3.3306690738754696e-16,2.718345674301793e-16,7.142734274258863e-17,2.718345674301793e-16,3.173655782617857e-12,8.534950524108353e-12,4.2652359840210616e-17,1.1102230246251565e-16,0.0
